id;name;latitude;longitude;address;city;state;zip;phone_number_24;prime;contract;contract_expiry;contract_type;website;cost_rating;notes;primary_notes;minimum_response_charge;standard_hours;is_client
1;Great Plains Environmental;46,8927409;-96,8481887;1301 40th Street NW;Fargo;ND;58102;;ЛОЖЬ;ЛОЖЬ;2-Jan-1900;;www.gpenvironmental.com;;;;;;ЛОЖЬ
2;First Call Environmental, LLC;37,3467618;-79,9496562;7370 Plantation Rd;Roanoke;VA;24019;(800) 646-1290;ЛОЖЬ;ИСТИНА;7-Nov-2020;Subcontractor;http://www.firstcallenvironmental.com/;Good;;;;;ЛОЖЬ
3;Clean Harbors;42,186423;-70,927203;5610 Alpha Drive;Boynton Beach;FL;33426;(800) 645-8265;ЛОЖЬ;ИСТИНА;30-Jul-2017;Subcontractor;www.cleanharbors.com;;;ACCOUNT #ER000047;;;ЛОЖЬ
4;Lewis Environmental Group;40,9577381;-76,6120092;601 E Market St Suite 180;Danville;PA;17821;(800) 258-5585;ЛОЖЬ;ИСТИНА;21-Jan-2019;Exchange of Services;www.lewisenvironmental.com;Good;;;4 hour minimum;0700 to 1530;ИСТИНА
5;A & H Environmental Services LLC;37,9937023;-87,5404285;1277 Maxwell Ave.;Evansville;IN;47711;(877) 422-4006;ЛОЖЬ;ЛОЖЬ;;Subcontractor;;;;;4 Hour Minimum;0800-1600;ЛОЖЬ
6;Cox Com LLC;33,914873;-84,343157;1400 Lake Herom Drive;Atlanta;GA;30319;;ЛОЖЬ;ИСТИНА;21-Apr-2018;;;;;;;;ЛОЖЬ
7;Pettit Environmental, Inc.;38,206886;-85,754532;340 Byrne Avenue;Louisville;KY;40209;(502) 637-5100;ЛОЖЬ;ИСТИНА;20-May-2014;Subcontractor;WWW.PETTITENVIRONMENTAL.COM;;;Have 5 vac trucks that have high rail capability!;4 hour minimum;0800-1600;ЛОЖЬ
8;Pettit Environmental, Inc.;39,30155;-84,4167499;6380 Centre Park Drive;Cincinnati;OH;45069;(502) 637-5100;ЛОЖЬ;ИСТИНА;20-May-2014;Subcontractor;WWW.PETTITENVIRONMENTAL.COM;;;Have 5 vac trucks that have high rail capability!;4 hour minimum;0800-1600;ЛОЖЬ
9;NRC Environmental Services;46,247986;-119,077672;1810 E James Street;Pasco;WA;99301;(800) 225-6750;ЛОЖЬ;ИСТИНА;11-Apr-2021;Exchange of Services;www.nrcc.com;Good;" Several other out of state offices/ Todd Rolloff: mobile: 510-719-1248, Pager: (888) 714-0873/  Bob Ireland Cell: (510) 385-3253, Pager: (510) 716-1192. Rich lodge Cell 510-772-0043, Pager 510-553-5606 BE SURE TO CHECK FILES FOR CA OT RATES";;4 hour minimum;0700 to 1500;ИСТИНА
10;First Call Environmental, LLC;36,016869;-83,988351;6165 Primus Rd;Knoxville;TN;23970;(800) 646-1290;ЛОЖЬ;ИСТИНА;7-Nov-2020;Subcontractor;http://www.firstcallenvironmental.com/;Good;"1/11/2017-STK-Fast service, easy to speak with, quick invoicing. Limited Insurance Limited equipment will use subs";**** NOTE***** $1500.00 minimum per incident on 2015 rates;;;ЛОЖЬ
11;Veolia ES Industrial Services;41,513143;-87,462457;500 Kennedy Ave.;Schererville;IN;46275;(800) 688-4005;ЛОЖЬ;ИСТИНА;2-Jan-1900;Exchange of Services;;;3 Regions for labor, Central-North East-West;;;1601-0659;ИСТИНА
12;Tradebe Environmental Services, LLC;42,129831;-71,118403;441R Canton Street;Stoughton;MA;02072;(888) 276-0885;ЛОЖЬ;ИСТИНА;6-Mar-2016;Subcontractor;;Good;1/1/13 name change from United Insustrial Services;CONTRACT IS EXPIRED - SEVERAL ATTEMPTS HAVE BEEN MADE TO RENEW.;;;ЛОЖЬ
13;Clean Harbors;49,8893247;-97,0597072;45 Terracon Place;Winnipeg;MB;R2J 4B3;(800) 645-8265;ЛОЖЬ;ИСТИНА;30-Jul-2017;Subcontractor;;;;11/9/2016 - MCG - Slow sending paperwork.  Had to short pay. ;;1531-0659;ЛОЖЬ
14;MidWest Wrecking;35,574095;-97,444485;10200 N I-35 E Service Rd;Oklahoma City;OK;73131;;ЛОЖЬ;ИСТИНА;1-Oct-2017;Exchange of Services;;;;NO ER;;;ИСТИНА
15;B & P Enterprises;34,993246;-90,101257;6230 Stateline Road;Walls;MS;38680;(662) 781-2780;ЛОЖЬ;ИСТИНА;29-Jun-2020;Exchange of Services;www.bandpent.com;Good;;;4 hour minimum;0700-1700;ИСТИНА
16;Environmental Safety and Health Consulting Services, Inc.;32,4420515;-93,5909748;101 Crown Court Place;Bossier City;LA;71112;(877) 437-2634;ИСТИНА;ИСТИНА;1-Jan-2019;Exchange of Services;www.esandh.com;Good;;Non-Haz rates listed.  Haz Rates Mgr $95 Supervisor $75 Tech $50 starting 12/8/2016.;4 hour minimum;0800 to 1600;ИСТИНА
17;Jones Environmental, Inc;35,417566;-94,334015;2495 4th St., S;Van Buren;AR;72956;(800) 974-2731;ЛОЖЬ;ЛОЖЬ;2-Jan-1900;;;;Works with AJ Greenwood Pluming & Excavation;;;;ЛОЖЬ
18;Veolia ES Industrial Services;37,4767619;-121,9440745;3789 Spinnaker Court;Fremont;CA;94538;(800) 688-4005;ЛОЖЬ;ИСТИНА;2-Jan-1900;Exchange of Services;;;3 Regions for labor, Central-North East-West;;;1601-0659;ИСТИНА
19;Veolia ES Industrial Services;30,337516;-81,752711;1108 Lane Ave North;Jacksonville;FL;32254;(800) 688-4005;ЛОЖЬ;ИСТИНА;2-Jan-1900;Exchange of Services;;;3 Regions for labor, Central-North East-West;;;1601-0659;ИСТИНА
21;Environmental Restoration, LLC;41,2908213;-95,9618365;3510 N 33rd St.;Omaha;NE;68111;(888) 814-7477;ИСТИНА;ИСТИНА;24-Feb-2018;Exchange of Services;www.erllc.com;;;Remind them Subcontracted services must be pre-approved in writing by an EMI project manager & invoices need to be received quickly.;4 hour minimum;0800 to 1600;ИСТИНА
22;CTEH (Center for Toxicology and Environmental Health, LLC;34,748744;-92,277143;615 W Markham St;Little Rock;AR;72201;(866) 869-2834;ЛОЖЬ;ИСТИНА;;Exchange of Services;;;"CTEH Reciprocal Agreement CTEH provides lab word and testing. 10/9/15 Allen ""Higg"" Higginbotham, Director of Toxicology ER Program";;;;ИСТИНА
23;First Call Environmental, LLC;36,7853717;-76,2901083;504 Freeman Ave;Chesapeake;VA;23324;(800) 646-1290;ЛОЖЬ;ИСТИНА;7-Nov-2020;Subcontractor;http://www.firstcallenvironmental.com/;Good;Limited Insurance limited equipment will use subs;**** NOTE***** $1500.00 minimum per incident on 2014 rates;;;ЛОЖЬ
24;B & P Enterprises - ***NO ER;30,158823;-90,98854;4168 Bowden Rd;Geismar;LA;70734;(662) 781-2780;ЛОЖЬ;ИСТИНА;29-Jun-2020;Exchange of Services;www.bandpent.com;;"Moved location from 104 Pebble Beach Dr. Benton, LA 71006 to 4168 Bowden Rd., Geismar, LA  70734";;4 hour minimum;0700-1700;ИСТИНА
25;Potter Environmental;48,3785489;-89,4015898;R.R. #2 26 Haniak Rd.;Thunder Bay;ON;P7C 4V1;(888) 213-2220;ЛОЖЬ;ЛОЖЬ;2-Jan-1900;;www.potterenvironmental.com;;;;4 Hour Minumum;0800-1700;ЛОЖЬ
26;Inter-Rail Systems Inc;37,2209541;-89,5077395;314 Madison St;Scott City;MO;63780;;ЛОЖЬ;ИСТИНА;24-Feb-2020;Subcontractor;www.interrailsystems.com;;;Rates are HIGH!!;;;ЛОЖЬ
27;Clean Harbors;43,1394076;-71,4819007;#20 Dunklee Road;Bow;NH;03304;(800) 645-8265;ЛОЖЬ;ИСТИНА;30-Jul-2017;Subcontractor;;;;ACCOUNT #ER000047;;1531-0659;ЛОЖЬ
28;Environmental Restoration, LLC;38,976477;-94,715462;Broolhollow Building 8, 8407-8409 Neiman Road;Lenexa;KS;66214;(888) 814-7477;ИСТИНА;ИСТИНА;24-Feb-2018;Exchange of Services;www.erllc.com;High;;Remind them Subcontracted services must be pre-approved in writing by an EMI project manager & invoices need to be received quickly.;4 hour minimum;0800-1600;ИСТИНА
29;H2O Environmental, Inc;33,271163;-111,816556;2364 S Airport Blvd #2;Chandler;AZ;85286;(866) 426-7745;ЛОЖЬ;ИСТИНА;1-Apr-2016;Subcontractor;www.h2oenviroservices.com#http://www.h2oenviroservices.com#;High;PARTIAL SOQ/ Very high rates on emergency response/ DY utilized Las Vegas office for air products release in Kingman, AZ on 10-5-99.  DY Negotiated lower rates prior to the response/ portal to portal, 4 hour minimum/ owns heavy equipment/ confined space c;"*** Be aware that ER rates are high and apply to personnel and equipment anytime they are called out on a spill ***7/31/07 DO NOT USE FOR SAFETY KLEEN.Keep good communications on cost";4 hour minimum;0700 to 1700;ЛОЖЬ
30;B & P Enterprises;33,5057073;-94,0439934;7725 North State Line Ave;Texarkana;TX;75501;(662) 781-2780;ЛОЖЬ;ИСТИНА;29-Jun-2020;Exchange of Services;www.bandpent.com;;"";;4 hour minimum;0700-1700;ИСТИНА
31;M & M Protection, LLC;29,652767;-95,048471;11831 W Fairmont Pkwy;LaPorte;TX;77571;(713) 818-4808;ЛОЖЬ;ЛОЖЬ;2-Jan-1900;;;;;;;;ЛОЖЬ
32;B & P Enterprises;33,563696;-86,8389584;42 Sayreton Dr;Birmingham;AL;35207;(662) 781-2780;ЛОЖЬ;ИСТИНА;29-Jun-2020;Exchange of Services;www.bandpent.com;;;;4 hour minimum;0700-1700;ИСТИНА
33;Itech Environmental Services;43,1708655;-80,2166127;73 Sinclair Blvd.;Brantford;ON;N3S 7X6;(877) 324-4402;ЛОЖЬ;ИСТИНА;22-Dec-2014;Subcontractor;www.itechenvironmental.ca;;;First call for SK;;0800-1600;ЛОЖЬ
34;Enviro Hazmat;51,0953721;-114,008095;Bay #12, 2180 Pegasus Way N.E.;Calgary;AB;T2E 8M5;(866) 249-7583;ЛОЖЬ;ЛОЖЬ;2-Jan-1900;;www.envirohazmat.ca;high;;;Minumum 3 hour;;ЛОЖЬ
35;Patriot Environmental Services;34,046634;-117,611902;1840 East Elm Street;Ontario;CA;91761;(800) 624-9136;ЛОЖЬ;ИСТИНА;1-Jun-2016;Subcontractor;www.patriotenvironmental.com;;"2/23/16 CRY - They pushed my job off 1 full day to do other work.Alfonso Yorba's cell #619-438-3316 Aurelio Vega Cell #619-654-6796 Brian Shutt of ABF Freight requested that we not use Patriot unless last option for ABF Freight.";"CONTRACT IS EXPIRED AS OF 6/1/2016 PER TERRY 3/29/16-Effective Immediately  NRC will be our 1st call before calling Patriot Due to Patriot not willing to negotiate any changes to their rate sheet as request by Terry.";4 hour minimum;0700-1500;ЛОЖЬ
38;Global Remediation Services, Inc.;41,9042163;-70,9883511;680 Richmond Street;East Taunton;MA;02718;(508) 828-1005;ЛОЖЬ;ИСТИНА;7-Apr-2015;Subcontractor;www.globalremediation.com;;;"CONTRACT IS EXPIRED. CSX Approved";4 hour minimum;0700-1530;ЛОЖЬ
39;Evergreen Environmental Spill Response Co.,  Inc.;37,7640261;-81,0095577;774 Cloverdale Rd;Shady Spring;WV;25918;(304) 573-6636;ЛОЖЬ;ИСТИНА;8-Feb-2016;Subcontractor;;;Can not respond to level A or B;;;1701-0759;ЛОЖЬ
40;Inter-Rail Systems Inc;41,684837;-87,98668;15200 Canal Bank Rd;Lemont;IL;60439;(573) 579-8951;ЛОЖЬ;ИСТИНА;24-Feb-2020;Subcontractor;www.interrailsystems.com;;;Rates are HIGH!!;;;ЛОЖЬ
